relative_path	status	in_source_repo	in_drive_nested_repo	source_size	drive_size	source_sha256	drive_sha256
colab_notebooks/ca_only_quickdemo.ipynb	same_hash	True	True	395574	395574	260f88cf0fc1cdbee1c4265d8a44e526798b6428c3519920c3ca33c46a9c545d	260f88cf0fc1cdbee1c4265d8a44e526798b6428c3519920c3ca33c46a9c545d
colab_notebooks/quickdemo.ipynb	same_hash	True	True	395584	395584	10e00c57bc2a90fde7c26df38310f67f4de0b0cbb719821a84c35b1b65c4affd	10e00c57bc2a90fde7c26df38310f67f4de0b0cbb719821a84c35b1b65c4affd
colab_notebooks/quickdemo_wAF2.ipynb	same_hash	True	True	31565	31565	a272bc9646522d73e9e5cb4632eba77593a3d37f639dde571f8b9334f2ae7e1b	a272bc9646522d73e9e5cb4632eba77593a3d37f639dde571f8b9334f2ae7e1b
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	178d910da412f02407c7778a82b573e200f660e4892dc60d3c2920b0eaf59cb5	178d910da412f02407c7778a82b573e200f660e4892dc60d3c2920b0eaf59cb5
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/fixed_pdbs.jsonl	same_hash	True	True	254	254	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/parsed_pdbs.jsonl	same_hash	True	True	116769	116769	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	a05a4eb2bdaffeb6e3d3468a478f98543e38562dfb4ac8e0ffa156107b52c291	a05a4eb2bdaffeb6e3d3468a478f98543e38562dfb4ac8e0ffa156107b52c291
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/seqs/4YOW.fa	same_hash	True	True	907	907	67b708e6cb9bb7687723d90d72e18ade31c797c0ba9e07938e50dae50fd42967	67b708e6cb9bb7687723d90d72e18ade31c797c0ba9e07938e50dae50fd42967
vanilla_proteinmpnn/PDB_complexes/example_3_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	719d26bb09882c35b5f2f968127b5c3a7a1421861bb5d835dc0916a4e62e0152	719d26bb09882c35b5f2f968127b5c3a7a1421861bb5d835dc0916a4e62e0152
vanilla_proteinmpnn/PDB_complexes/example_4_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	27d209f2b9e00d2a486d6d65a70608eeb8a81d9de4d4bf7e812b41d7f6e38cea	27d209f2b9e00d2a486d6d65a70608eeb8a81d9de4d4bf7e812b41d7f6e38cea
vanilla_proteinmpnn/PDB_complexes/example_4_outputs/fixed_pdbs.jsonl	same_hash	True	True	254	254	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8
vanilla_proteinmpnn/PDB_complexes/example_4_outputs/parsed_pdbs.jsonl	same_hash	True	True	116769	116769	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f	161ba8107e07cccaa288fad0665c421c3e31b02d0a1c4b9117d17ddf52917c4f
vanilla_proteinmpnn/PDB_complexes/example_4_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	47b284ed7b46fac0c9a766838510c71a0366478bbe60593412bde2a570ce7b89	47b284ed7b46fac0c9a766838510c71a0366478bbe60593412bde2a570ce7b89
vanilla_proteinmpnn/PDB_complexes/example_4_outputs/seqs/4YOW.fa	same_hash	True	True	1576	1576	891d1defa69ef39bcdd4fe0fa89613aab5214b94f6812f488339af6a8dbfb3ec	891d1defa69ef39bcdd4fe0fa89613aab5214b94f6812f488339af6a8dbfb3ec
