source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
docx	V1_CEM	docx	some_soul_wrenching_physics	1855	23834	1835	23028	0.00	0.00	0.0000
docx	V1_CEM	pdf	SA_9_20_2022	1855	5932	1835	5866	74.55	23.32	0.0410
docx	V1_CEM	pdf	SA_9_20_2022_CEM	1855	5932	1835	5866	74.55	23.32	0.0410
docx	V1_CEM	pdf	SA_9_21_2022	1855	6160	1835	6094	74.50	22.43	0.0396
docx	V1_CEM	pdf	SA_9_23_2022_CEM	1855	6141	1835	6077	68.99	20.83	0.0395
docx	V1_CEM	pdf	SA_CEM_9_26_2022	1855	6139	1835	6075	63.60	19.21	0.0396
docx	V1_CEM	pdf	V1_PDF	1855	4264	1835	4206	84.36	36.80	0.0863
docx	some_soul_wrenching_physics	docx	SA_9_20_2022	23834	6528	23028	5943	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_9_20_2022_Equation_Update_Attempt	23834	6565	23028	5980	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_9_21_2022	23834	6764	23028	6179	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_9_23_2022_CEM	23834	6771	23028	6164	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_CEM_9_26_2022	23834	6771	23028	6164	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_CEM_9_26_2022_MJ	23834	6776	23028	6153	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	23834	7182	23028	6231	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	V1	23834	6109	23028	5602	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	docx	V1_CEM	23834	1855	23028	1835	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	SA_9_20_2022	23834	5932	23028	5866	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	SA_9_20_2022_CEM	23834	5932	23028	5866	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	SA_9_21_2022	23834	6160	23028	6094	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	SA_9_23_2022_CEM	23834	6141	23028	6077	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	SA_CEM_9_26_2022	23834	6139	23028	6075	0.00	0.00	0.0000
docx	some_soul_wrenching_physics	pdf	V1_PDF	23834	4264	23028	4206	0.00	0.00	0.0000
pdf	SA_9_20_2022	docx	SA_9_20_2022	5932	6528	5866	5943	93.79	92.58	0.0614
pdf	SA_9_20_2022	docx	SA_9_20_2022_Equation_Update_Attempt	5932	6565	5866	5980	93.23	91.45	0.0613
pdf	SA_9_20_2022	docx	SA_9_21_2022	5932	6764	5866	6179	93.11	88.40	0.0611
pdf	SA_9_20_2022	docx	SA_9_23_2022_CEM	5932	6771	5866	6164	79.66	75.81	0.0443
pdf	SA_9_20_2022	docx	SA_CEM_9_26_2022	5932	6771	5866	6164	79.66	75.81	0.0443
pdf	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ	5932	6776	5866	6153	75.21	71.70	0.0398
pdf	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	5932	7182	5866	6231	75.09	70.69	0.0398
pdf	SA_9_20_2022	docx	V1	5932	6109	5866	5602	87.86	92.00	0.0448
pdf	SA_9_20_2022	docx	V1_CEM	5932	1855	5866	1835	23.32	74.55	0.0410
pdf	SA_9_20_2022	docx	some_soul_wrenching_physics	5932	23834	5866	23028	0.00	0.00	0.0000
pdf	SA_9_20_2022	pdf	SA_9_20_2022_CEM	5932	5932	5866	5866	100.00	100.00	1.0000
pdf	SA_9_20_2022	pdf	SA_9_21_2022	5932	6160	5866	6094	98.84	95.14	0.9195
pdf	SA_9_20_2022	pdf	SA_9_23_2022_CEM	5932	6141	5866	6077	87.52	84.48	0.5729
pdf	SA_9_20_2022	pdf	SA_CEM_9_26_2022	5932	6139	5866	6075	83.21	80.35	0.4648
pdf	SA_9_20_2022	pdf	V1_PDF	5932	4264	5866	4206	63.42	88.45	0.6322
pdf	SA_9_20_2022_CEM	docx	SA_9_20_2022	5932	6528	5866	5943	93.79	92.58	0.0614
pdf	SA_9_20_2022_CEM	docx	SA_9_20_2022_Equation_Update_Attempt	5932	6565	5866	5980	93.23	91.45	0.0613
pdf	SA_9_20_2022_CEM	docx	SA_9_21_2022	5932	6764	5866	6179	93.11	88.40	0.0611
pdf	SA_9_20_2022_CEM	docx	SA_9_23_2022_CEM	5932	6771	5866	6164	79.66	75.81	0.0443
pdf	SA_9_20_2022_CEM	docx	SA_CEM_9_26_2022	5932	6771	5866	6164	79.66	75.81	0.0443
pdf	SA_9_20_2022_CEM	docx	SA_CEM_9_26_2022_MJ	5932	6776	5866	6153	75.21	71.70	0.0398
pdf	SA_9_20_2022_CEM	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	5932	7182	5866	6231	75.09	70.69	0.0398
pdf	SA_9_20_2022_CEM	docx	V1	5932	6109	5866	5602	87.86	92.00	0.0448
pdf	SA_9_20_2022_CEM	docx	V1_CEM	5932	1855	5866	1835	23.32	74.55	0.0410
pdf	SA_9_20_2022_CEM	docx	some_soul_wrenching_physics	5932	23834	5866	23028	0.00	0.00	0.0000
pdf	SA_9_20_2022_CEM	pdf	SA_9_20_2022	5932	5932	5866	5866	100.00	100.00	1.0000
pdf	SA_9_20_2022_CEM	pdf	SA_9_21_2022	5932	6160	5866	6094	98.84	95.14	0.9195
pdf	SA_9_20_2022_CEM	pdf	SA_9_23_2022_CEM	5932	6141	5866	6077	87.52	84.48	0.5729
pdf	SA_9_20_2022_CEM	pdf	SA_CEM_9_26_2022	5932	6139	5866	6075	83.21	80.35	0.4648
pdf	SA_9_20_2022_CEM	pdf	V1_PDF	5932	4264	5866	4206	63.42	88.45	0.6322
pdf	SA_9_21_2022	docx	SA_9_20_2022	6160	6528	6094	5943	89.73	92.01	0.0601
pdf	SA_9_21_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6160	6565	6094	5980	90.53	92.26	0.0729
pdf	SA_9_21_2022	docx	SA_9_21_2022	6160	6764	6094	6179	93.67	92.38	0.0726
pdf	SA_9_21_2022	docx	SA_9_23_2022_CEM	6160	6771	6094	6164	80.05	79.14	0.0563
pdf	SA_9_21_2022	docx	SA_CEM_9_26_2022	6160	6771	6094	6164	80.05	79.14	0.0563
pdf	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ	6160	6776	6094	6153	75.78	75.05	0.0519
pdf	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6160	7182	6094	6231	75.66	74.00	0.0519
pdf	SA_9_21_2022	docx	V1	6160	6109	6094	5602	84.36	91.77	0.0438
pdf	SA_9_21_2022	docx	V1_CEM	6160	1855	6094	1835	22.43	74.50	0.0396
pdf	SA_9_21_2022	docx	some_soul_wrenching_physics	6160	23834	6094	23028	0.00	0.00	0.0000
pdf	SA_9_21_2022	pdf	SA_9_20_2022	6160	5932	6094	5866	95.14	98.84	0.9195
pdf	SA_9_21_2022	pdf	SA_9_20_2022_CEM	6160	5932	6094	5866	95.14	98.84	0.9195
pdf	SA_9_21_2022	pdf	SA_9_23_2022_CEM	6160	6141	6094	6077	88.91	89.16	0.6443
pdf	SA_9_21_2022	pdf	SA_CEM_9_26_2022	6160	6139	6094	6075	84.28	84.54	0.5306
pdf	SA_9_21_2022	pdf	V1_PDF	6160	4264	6094	4206	60.81	88.11	0.5869
pdf	SA_9_23_2022_CEM	docx	SA_9_20_2022	6141	6528	6077	5943	80.04	81.84	0.0407
pdf	SA_9_23_2022_CEM	docx	SA_9_20_2022_Equation_Update_Attempt	6141	6565	6077	5980	80.76	82.07	0.0535
pdf	SA_9_23_2022_CEM	docx	SA_9_21_2022	6141	6764	6077	6179	83.79	82.41	0.0534
pdf	SA_9_23_2022_CEM	docx	SA_9_23_2022_CEM	6141	6771	6077	6164	89.73	88.47	0.0563
pdf	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022	6141	6771	6077	6164	89.73	88.47	0.0563
pdf	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022_MJ	6141	6776	6077	6153	84.45	83.41	0.0541
pdf	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6141	7182	6077	6231	84.33	82.25	0.0541
pdf	SA_9_23_2022_CEM	docx	V1	6141	6109	6077	5602	74.77	81.11	0.0416
pdf	SA_9_23_2022_CEM	docx	V1_CEM	6141	1855	6077	1835	20.83	68.99	0.0395
pdf	SA_9_23_2022_CEM	docx	some_soul_wrenching_physics	6141	23834	6077	23028	0.00	0.00	0.0000
pdf	SA_9_23_2022_CEM	pdf	SA_9_20_2022	6141	5932	6077	5866	84.48	87.52	0.5729
pdf	SA_9_23_2022_CEM	pdf	SA_9_20_2022_CEM	6141	5932	6077	5866	84.48	87.52	0.5729
pdf	SA_9_23_2022_CEM	pdf	SA_9_21_2022	6141	6160	6077	6094	89.16	88.91	0.6443
pdf	SA_9_23_2022_CEM	pdf	SA_CEM_9_26_2022	6141	6139	6077	6075	95.00	95.03	0.8020
pdf	SA_9_23_2022_CEM	pdf	V1_PDF	6141	4264	6077	4206	53.79	77.72	0.3376
pdf	SA_CEM_9_26_2022	docx	SA_9_20_2022	6139	6528	6075	5943	76.82	78.53	0.0408
pdf	SA_CEM_9_26_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6139	6565	6075	5980	77.55	78.78	0.0536
