notebook	mention_type	mention	cell_index
S669_ProteinMPNNTesting_V6.ipynb	artifact	S_669_full_feature_dict.pickle	
S669_ProteinMPNNTesting_V6.ipynb	artifact	S_669_pmppn_info_dict.pickle	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
S669_ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	PremPS	
S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648	
S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_669	
S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym	
S669_ProteinMPNNTesting_V6_V2.ipynb	dataset	s669	
S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb	
S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
S669_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
S669_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	PremPS	
S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	S921	
S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648	
S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	S_921	
S921_ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym	
S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb	
S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_921_pmppn_info_dict_V2.pickle	
S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
S921_ProteinMPNNTesting_V6_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S921/S921.txt	
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive	
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_PDB_Files	
S921_ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_pssm_dir	
