pickle_file	run_index	metric_key	dataset	split	metric	metric_kind	feature_combo	value
list_incremental_feature_result_dict.pickle	0	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.6414951357563871
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A	0.2719636803913825
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B	0.3274802594930608
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C	0.37101514470059677
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C+D	0.40785897053669606
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C+D+E	0.4721150443591734
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C+D+E+F	0.4770474620446654
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.47799850538062666
list_incremental_feature_result_dict.pickle	0	S_669_direct_PCC	S_669	direct	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.4760586106158296
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A	0.27204714474160385
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B	0.33154042908063486
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C	0.3637837650427381
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C+D	0.40671501471038124
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C+D+E	0.46670784396487747
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C+D+E+F	0.48164317503863485
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G	0.48164672947453396
list_incremental_feature_result_dict.pickle	0	S_669_reverse_PCC	S_669	reverse	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	0.4744282265015182
list_incremental_feature_result_dict.pickle	0	S_669_total_RMSE	S_669	total	RMSE	feature_combo_dict	A	1.720634294751297
