artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1823	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1828	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1901	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1906	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1911	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1927	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
S_921_pmppn_info_dict.pickle	S_921_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1932	commented	"# with open(""S_921_pmppn_info_dict.pickle"",""wb"") as f:"
S_921_pmppn_info_dict.pickle	S_921_pmppn_info_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	1937	active_or_text	"with open(""S_921_pmppn_info_dict.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	historical_notebook_source_export	2273	active_or_text	"with open(""S_921_full_feature_dict.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict_V3.pickle	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1954	commented	"# with open(""S_2648_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_2648_pmppn_info_dict_V2.pickle	S_2648_pmppn_info_dict_V2.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	historical_notebook_source_export	1959	commented	"# with open(""S_2648_pmppn_info_dict_V2.pickle"",""rb"") as f:"
S_2648_full_feature_dict.pickle	S_2648_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	42	active_or_text	"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f:"
S_921_full_feature_dict.pickle	S_921_full_feature_dict.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML.ipynb.py.txt	historical_notebook_source_export	44	active_or_text	"with open(""S_921_full_feature_dict.pickle"",""rb"") as f:"
